year,country,health_expenses,education,gdp_per_capita,gini_index,greenhousepc,pop_density,precipitation,productivity_per_hour,remuneration_per_capita,unemployment,inflation,div_per_100_marriges_,0-14,15-24,25-49,50-64,65-79,80-more,Per capita CO₂ emissions (Global Carbon Project; Gapminder; UN) (tonnes per capita),20-24 years old (%),10-14 years old (%),All ages (%),70+ years old (%),30-34 years old (%),15-19 years old (%),25-29 years old (%),50-69 years old (%),Age-standardized (%),15-49 years old (%)
2000,Lithuania,0.0,24.6,7410.8,31.0,5.6,53.8,39968,10.0,2895.4,15.9,1.1,64.4,698447,497524,1255024,564896,402751,80896,3.373,4.45671613959,1.23391465644,5.11208502089,9.05636344086,4.86952902386,3.2180923554,4.62310443381,7.73928636149,4.41687802623,4.923736853079999
2000,Luxembourg,0.0,18.8,48498.3,26.0,22.2,167.7,0,50.0,22442.6,2.3,3.8,48.0,82604,49703,171976,70597,48248,13174,19.881,4.50137899877,1.71023308663,4.32607054106,5.280407036680001,5.010473471519999,3.4542120518900004,4.7958973199,5.1552440948100005,3.8576175740900003,4.889343477830001
2000,Malta,0.0,22.5,16022.1,30.0,7.2,1231.8,143,19.0,6955.9,6.3,3.0,-,77399,58421,134386,68471,38001,9131,6.101,3.94405778193,1.8145268932900003,3.73560409351,4.56608069612,4.28509582938,3.36481212735,4.12874172319,4.54153467925,3.40041285866,4.185871011530001
2000,Netherlands,0.0,22.4,27930.1,29.0,13.8,382.0,33510,37.0,14007.5,2.7,2.3,39.3,2961541,1888279,6148399,2763823,1654984,508488,10.777999999999999,4.80811745717,1.6096466553600002,4.613271887240001,5.277953001699999,5.44839898162,3.2886195761900003,5.14163364036,5.372559173709999,4.09851421822,5.2942639062099985
2000,Poland,0.0,26.1,9334.4,30.0,10.2,122.4,197268,11.8,3848.0,16.3,10.1,20.3,7438188,6443545,13890731,5801243,3925579,759344,8.226,2.54814471942,0.7559624018559999,2.6555395963999997,4.3162497327799985,2.5977048652100003,1.88042190679,2.54366837487,3.9203680709099995,2.3258803821600003,2.68882708911
2000,Portugal,8.4,22.0,16549.3,36.0,8.1,111.2,71207,17.6,7964.4,3.8,2.8,30.0,1685078,1491371,3705865,1742082,1316760,348744,6.343,5.18129383312,2.46150547062,5.332069096790001,6.80399797923,5.66860823633,4.50482176365,5.418003806030001,6.4675238708,4.66383786726,5.624110411240001
2000,Romania,0.0,20.4,5150.5,29.0,6.3,94.2,102000,5.8,2019.9,7.0,45.7,22.6,4103511,3616305,8118537,3615383,2589291,399946,4.2010000000000005,2.3965061882099996,0.876880364673,2.75293003835,4.83612184136,2.55556286217,1.94249336629,2.4649855376,4.15519075288,2.35115460975,2.61569253458
2000,Slovakia,0.0,23.9,9951.0,0.0,9.2,110.1,37500,14.6,3998.4,19.1,12.2,35.8,1051622,919827,2001897,800019,515561,99795,7.644,2.4920180213,0.861735569515,2.85563801442,5.389688327409999,2.63527441341,1.96633666211,2.5526583589099996,4.50087366893,2.51263968208,2.71714187299
2000,Slovenia,0.0,22.5,15816.3,22.0,9.6,98.0,31780,20.1,7979.7,6.9,9.0,29.5,316890,290302,764898,338433,232443,45961,7.76,3.693206449,1.06461031375,3.9638993451699998,6.78623346232,3.57903946395,2.71885144264,3.5984345205,5.56971891734,3.30867060571,3.730708580880001
2000,Spain,0.0,21.9,18868.6,32.0,9.5,80.0,397962,26.2,9146.4,13.8,3.5,17.4,5967867,5952552,15435500,6452775,5265575,1493596,7.626,3.83959379018,1.8829232131,3.98566953435,5.01479527617,4.12898503,3.2828133978000005,3.9736298670599997,4.80086240748,3.4672201643700005,4.10539910728
2000,Sweden,0.0,27.4,25656.4,0.0,7.7,20.1,424479,32.2,11546.1,5.5,1.3,53.9,1635250,1025183,3021562,1658394,1087199,444522,6.162000000000001,5.6344196221899985,1.7766923560499999,5.12345488194,5.971091734580001,5.90073053597,4.12632311705,5.7104074435399985,5.92924952747,4.56050888632,5.885795886
